Year,Link,Table Title,Category,Rank,Player,Country,MATCH RECORD,Prize,Team Link,Pokémon 1,Pokémon 2,Pokémon 3,Pokémon 4,Pokémon 5,Pokémon 6,Forms 1,Forms 2,Forms 3,Forms 4,Forms 5,Forms 6
2009,https://www.vgcpedia.com/2009-pokemon-world-championships/,Table 1,Junior/Senior,1,Jeremiah Fan🇺🇸,,–,,,Toxicroak,Ludicolo,Kingdra,Metagross,Vaporeon,Slowbro,Toxicroak,Ludicolo,Kingdra,Metagross,Vaporeon,Slowbro
2009,https://www.vgcpedia.com/2009-pokemon-world-championships/,Table 1,Junior/Senior,1,Kazuyuki Tsuji🇯🇵,,5-0,,,Toxicroak,Salamence,Ludicolo,Metagross,Empoleon,Snorlax,Toxicroak,Salamence,Ludicolo,Metagross,Empoleon,Snorlax
2009,https://www.vgcpedia.com/2009-pokemon-world-championships/,Table 1,Junior/Senior,2,Santa Ito🇯🇵,,–,,,Latios,Metagross,Gyarados,Garchomp,Arcanine,Absol,Latios,Metagross,Gyarados,Garchomp,Arcanine,Absol
2009,https://www.vgcpedia.com/2009-pokemon-world-championships/,Table 1,Junior/Senior,2,Tasuku Mano🇯🇵,,4-1,,,Zapdos,Moltres,Rhyperior,Hippowdon,Yanmega,Shedinja,Zapdos,Moltres,Rhyperior,Hippowdon,Yanmega,Shedinja
2009,https://www.vgcpedia.com/2009-pokemon-world-championships/,Table 1,Junior/Senior,3,Steven Wasserloos🇺🇸,,4-1,,,Zapdos,Ludicolo,Metagross,Kingdra,Scizor,Gyarados,Zapdos,Ludicolo,Metagross,Kingdra,Scizor,Gyarados
2009,https://www.vgcpedia.com/2009-pokemon-world-championships/,Table 1,Junior/Senior,4,Grace Beck🇺🇸,,4-1,,,Ludicolo,Kingdra,Abomasnow,Slowking,Vaporeon,Lapras,Ludicolo,Kingdra,Abomasnow,Slowking,Vaporeon,Lapras
2010,https://www.vgcpedia.com/2010-pokemon-world-championships/,Table 1,Junior/Senior,1,Ray Rizzo🇺🇸,,–,,,Kyogre,Groudon,Dialga,Ludicolo,Hariyama,Cresselia,Kyogre,Groudon,Dialga,Ludicolo,Hariyama,Cresselia
2010,https://www.vgcpedia.com/2010-pokemon-world-championships/,Table 1,Junior/Senior,1,Shota Yamamoto🇯🇵,,–,,,Groudon,Palkia,Ho-oh,Ludicolo,Cherrim,Cresselia,Groudon,Palkia,Ho-Oh,Ludicolo,Cherrim,Cresselia
2010,https://www.vgcpedia.com/2010-pokemon-world-championships/,Table 1,Junior/Senior,2,Santa Ito🇯🇵,,–,,,Kyogre,Dialga,Giratina,Ludicolo,Toxicroak,Cresselia,Kyogre,Dialga,Giratina,Ludicolo,Toxicroak,Cresselia
2010,https://www.vgcpedia.com/2010-pokemon-world-championships/,Table 1,Junior/Senior,2,Yasuki Tochigi🇯🇵,,–,,,Kyogre,Palkia,Lugia,Ludicolo,Tyranitar,Infernape,Kyogre,Palkia,Lugia,Ludicolo,Tyranitar,Infernape
